gege be ,	nv::nv cm::acc mark::comma
uji ci aca ra niyalma be uji fi ,	verb::vv e::cve verb::vv e::npst.ptcp nv::nv cm::acc verb::vv e::cve mark::comma
jori ha jurgan be jurce rakū seme beiguwan obu ha .	verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::npst.ptcp.neg comp nv::nv verb::vv e::pst.ptcp mark::period
hithai ,	nn::prpn.person mark::comma
holto me boo te he gebu ara me ,	verb::vv e::cve nv::nv verb::vv e::pst.ptcp nv::nv verb::vv e::cve mark::comma
juwe minggan funce me gama ra niyalma be amasi baha fi gaji ha ,	nv::nv nv::nv verb::vv e::cve verb::vv e::npst.ptcp nv::nv cm::acc nv::nv verb::vv e::cve verb::vv e::pst.ptcp mark::comma
honin emke de emu sin bu ∅ ,	nv::nv nv::nv cm::dat nv::nv nv::nv verb::vv e::fve.imperative mark::comma
○ solho i ilan jergi elcin ji he hafan i han de gaji ha menggun ,	mark::circle nv::nv cm::gen nv::nv nv::nv nv::nv verb::vv e::pst.ptcp nv::nv cm::gen nv::nv cm::dat verb::vv e::pst.ptcp nv::nv mark::comma
julge ci ebsi ,	nv::nv cm::abl nv::nv mark::comma
jeku hūlha ha mujangga ,	nv::nv verb::vv e::pst.ptcp nv::adj mark::comma
min i juse omosi jalan hala me han de gosibu me wesihun banji kini .	pn::1sg cm::gen nv::nv nv::nv nv::nv verb::vv e::cve nv::nv cm::dat verb::vv e::cve nv::nv verb::vv e::fve.opt mark::period
niya ha orho juwan tumen ninggun minggan emu tanggū duin fulmiyen .	verb::vv e::pst.ptcp nv::nv nv::nv nv::nv nv::nv nv::nv nv::nv nv::nv nv::nv nv::nv mark::period
ajigen_mergen be akdula me asara ∅ seme asarabu ha .	nn::prpn cm::acc verb::vv e::cve verb::vv e::fve.imperative comp verb::vv e::pst.ptcp mark::period
uji re da de uji kini ,	verb::vv e::npst.ptcp nv::nv cm::dat verb::vv e::fve.opt mark::comma
bata kimun seme gida rakū ,	nv::nv nv::nv comp verb::vv e::npst.ptcp.neg mark::comma
suwen i nikan be daila ha ,	pn::2pl cm::gen nv::nv cm::acc verb::vv e::pst.ptcp mark::comma
○ du_tang ni bithe ,	mark::circle nv::nv cm::gen nv::nv mark::comma
ula de emu feye baha ha seme sunjata yan i weile waliya mbi ,	nv::nv cm::dat nv::nv nv::nv verb::vv e::pst.ptcp comp nv::nv nv::nv cm::gen nv::nv verb::vv e::fve.npst mark::comma
yehe i bujai ,	nv::nv cm::gen nn::prpn.person mark::comma
○ kitanggūr be ,	mark::circle nn::prpn.person cm::acc mark::comma
waka uru be dacila fi ,	nv::adj nv::nv cm::acc verb::vv e::cve mark::comma
solho i emu hafan ,	nv::nv cm::gen nv::nv nv::nv mark::comma
han i hecen i dorgi irgen i juwe boo tuwa daha ∅ manggi ,	nv::nv cm::gen nv::nv cm::gen nv::nv nv::nv cm::gen nv::nv nv::nv nv::nv verb::vv e::fve.imperative nv::nv mark::comma
han de juwe ihan benji he .	nv::nv cm::dat nv::nv nv::nv verb::vv e::pst.ptcp mark::period
acan ilan ihan bu he ,	nv::nv nv::nv nv::nv verb::vv e::pst.ptcp mark::comma
han dedu hebi seme amba_beile de ala ha manggi ,	nv::nv verb::vv e::fve.prs.prf comp nn::prpn cm::dat verb::vv e::pst.ptcp nv::nv mark::comma
emu tanggū gūsin yan menggun gama ha ,	nv::nv nv::nv nv::nv nv::nv nv::nv verb::vv e::pst.ptcp mark::comma
○ monggo i beile se de emte temen bu he .	mark::circle nv::nv cm::gen nv::nv nv::nv cm::dat nv::nv nv::nv verb::vv e::pst.ptcp mark::period
ama i gung de wesibu fi ,	nv::nv cm::gen nv::nv cm::dat verb::vv e::cve mark::comma
uyuci jergi ,	nv::nv nv::nv mark::comma
ehe mujilen jafa fi wasi ka efuje he kooli ,	nv::adj nv::nv verb::vv e::cve verb::vv e::pst.ptcp verb::vv e::pst.ptcp nv::nv mark::comma
wan_lii i orin sunjaci aniya sunja biya i ice de baha ha ,	nn::prpn cm::gen nv::nv nv::nv nv::nv nv::nv nv::nv cm::gen nv::adj cm::dat verb::vv e::pst.ptcp mark::comma
tuttu o ci ,	nv::nv verb::vv e::cve mark::comma
han de ala ra jaka de ,	nv::nv cm::dat verb::vv e::npst.ptcp nv::nv cm::dat mark::comma
○ ooba_hūwang_taiji gashū ha gisun ,	mark::circle nn::prpn verb::vv e::pst.ptcp nv::nv mark::comma
tolo me gai fi bu ∅ .	verb::vv e::cve verb::vv e::cve verb::vv e::fve.imperative mark::period
tondo mujilen jafa fi jurce rakū kice me banji ki .	nv::adj nv::nv verb::vv e::cve verb::vv e::npst.ptcp.neg verb::vv e::cve verb::vv e::fve.opt mark::period
fujiyang busan ,	nv::nv nn::prpn.person mark::comma
○ juwe biya i tofohon de ,	mark::circle nv::nv nv::nv cm::gen nv::nv cm::dat mark::comma
min de šang ambula bu fi ,	pn::1sg cm::dat nv::nv nv::nv verb::vv e::cve mark::comma
min i emgi banji re mujilen akū o fi ,	pn::1sg cm::gen nv::nv verb::vv e::npst.ptcp nv::nv nv::adj verb::vv e::cve mark::comma
han teni boo de amasi bedere he ,	nv::nv nv::nv nv::nv cm::dat nv::nv verb::vv e::pst.ptcp mark::comma
ejen akū orho be hūdun baica fi ,	nv::nv nv::adj nv::nv cm::acc nv::adj verb::vv e::cve mark::comma
unege ,	nn::prpn.person mark::comma
tese de abka i gashan bi dere ,	nv::nv cm::dat nv::nv cm::gen nv::nv verb::vv.npst ptcl mark::comma
donggo_šan_wei i du_jy_hūi_ciyanši hūsitun i omolo baha ha ,	nn::prpn cm::gen nv::nv nv::nv cm::gen nv::nv verb::vv e::pst.ptcp mark::comma
○ amba_beile ,	mark::circle nn::prpn mark::comma
han ,	nv::nv mark::comma
han be abka na ,	nv::nv cm::acc nv::nv nv::nv mark::comma
han i hecen be men i cooha baha ha ,	nv::nv cm::gen nv::nv cm::acc pn::1pl.excl cm::gen nv::nv verb::vv e::pst.ptcp mark::comma
beiguwan be wesibu fi ilaci jergi tsanjiyang ni hergen bu he ,	nv::nv cm::acc verb::vv e::cve nv::nv nv::nv nv::nv cm::gen nv::nv verb::vv e::pst.ptcp mark::comma
alanji ha manggi ,	verb::vv e::pst.ptcp nv::nv mark::comma
monggo i cooha dosi re ba be fonji me ,	nv::nv cm::gen nv::nv verb::vv e::npst.ptcp nv::nv cm::acc verb::vv e::cve mark::comma
ama aja be faksala rakū sunja tanggū boigon ara ∅ ,	nv::nv nv::nv cm::acc verb::vv e::npst.ptcp.neg nv::nv nv::nv nv::nv verb::vv e::fve.imperative mark::comma
hoton ci tuci fi dehi ba i dube ci amasi bedere he ,	nv::nv cm::abl verb::vv e::cve nv::nv nv::nv cm::gen nv::nv cm::abl nv::nv verb::vv e::pst.ptcp mark::comma
amba_beile be tuwa me arbuša ra be ,	nn::prpn cm::acc verb::vv e::cve verb::vv e::npst.ptcp cm::acc mark::comma
wang_beiguwan be iogi hergen bu he ,	nn::prpn cm::acc nv::nv nv::nv verb::vv e::pst.ptcp mark::comma
emu jergi buce re weile be guwebu mbi .	nv::nv nv::nv verb::vv e::npst.ptcp nv::nv cm::acc verb::vv e::fve.npst mark::period
nikan ,	nv::nv mark::comma
eye ci tucibu fi miyali ci atanggi waji mbi ,	nv::nv cm::abl verb::vv e::cve verb::vv e::cve nv::nv verb::vv e::fve.npst mark::comma
han hendu me ,	nv::nv verb::vv e::cve mark::comma
beile se geli tafula ha manggi ,	nv::nv nv::nv nv::nv verb::vv e::pst.ptcp nv::nv mark::comma
jase tuci fi cooha tuwakiya me te fi ,	nv::nv verb::vv e::cve nv::nv verb::vv e::cve verb::vv e::cve mark::comma
jase i dorgi ba tari ki se ci ,	nv::nv cm::gen nv::nv nv::nv verb::vv e::fve.opt verb::vv e::cve mark::comma
tuibala ha duin ulgiyan ,	verb::vv e::pst.ptcp nv::nv nv::nv mark::comma
uju jergi beiguwan i caliyan ,	nv::nv nv::nv nv::nv cm::gen nv::nv mark::comma
jušen nikan gemu emu han i gurun kai ,	nv::nv nv::nv nv::nv nv::nv nv::nv cm::gen nv::nv ptcl mark::comma
○ hūsitun ,	mark::circle nv::nv mark::comma
inu nikan i ulin ,	nv::nv nv::nv cm::gen nv::nv mark::comma
bi te re seme hendu he manggi ,	pn::1sg verb::vv e::npst.ptcp comp verb::vv e::pst.ptcp nv::nv mark::comma
bata kimun seme gida rakū ,	nv::nv nv::nv comp verb::vv e::npst.ptcp.neg mark::comma
tuba ci daha me ji he niyalma be ,	nv::nv cm::abl verb::vv e::cve verb::vv e::pst.ptcp nv::nv cm::acc mark::comma
suwe beile se i hendu fi unggi he gisun be ainu jurce he seme ,	pn::2pl nv::nv nv::nv cm::gen verb::vv e::cve verb::vv e::pst.ptcp nv::nv cm::acc nv::nv verb::vv e::pst.ptcp comp mark::comma
emu morin be gaji ha be nikan sa hakūbi ,	nv::nv nv::nv cm::acc verb::vv e::pst.ptcp cm::acc nv::nv verb::vv e::fve.prs.prf.neg mark::comma
afabu ha weile be mute mbi ,	verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::fve.npst mark::comma
šanggiyan_hada i emu beiguwan ,	nn::prpn cm::gen nv::nv nv::nv mark::comma
ba be waliya fi daha me ji he gung ,	nv::nv cm::acc verb::vv e::cve verb::vv e::cve verb::vv e::pst.ptcp nv::nv mark::comma
morin bu hekū ,	nv::nv verb::vv e::pst.ptcp.neg mark::comma
abka de elje re gese cooha tuci kebi kai ,	nv::nv cm::dat verb::vv e::npst.ptcp nv::nv nv::nv verb::vv e::fve.prs.prf ptcl mark::comma
han i bu re šang ni dabala ,	nv::nv cm::gen verb::vv e::npst.ptcp nv::nv cm::gen ptcl mark::comma
gūsin ba i dube de gene fi ,	nv::nv nv::nv cm::gen nv::nv cm::dat verb::vv e::cve mark::comma
gisun uru o fi ,	nv::nv nv::nv verb::vv e::cve mark::comma
ehe_kuren_golo i amban bi he ,	nn::prpn cm::gen nv::nv verb::vv e::pst.ptcp mark::comma
hecen ara ki seme toktobu ha ,	nv::nv verb::vv e::fve.opt comp verb::vv e::pst.ptcp mark::comma
anduhūri ainu gisure he seme jakūn du_tang be weile ara fi ,	nv::adj nv::nv verb::vv e::pst.ptcp comp nv::nv nv::nv cm::acc nv::nv verb::vv e::cve mark::comma
eidu_baturu de waliya me gene he bi he ,	nn::prpn cm::dat verb::vv e::cve verb::vv e::pst.ptcp verb::vv e::pst.ptcp mark::comma
han hendu me ,	nv::nv verb::vv e::cve mark::comma
dada i sunja jui emu sargan ,	nn::prpn.person cm::gen nv::nv nv::nv nv::nv nv::nv mark::comma
liyoodung ni niyalma suwen i dolo aikabade nikan be enteheme ,	nn::prpn.plc cm::gen nv::nv pn::2pl cm::gen nv::nv nv::nv nv::nv cm::acc nv::nv mark::comma
gūsa doo me jakūn gūsa i beile se de ainu bai mbi ,	nv::nv verb::vv e::cve nv::nv nv::nv cm::gen nv::nv nv::nv cm::dat nv::nv verb::vv e::fve.npst mark::comma
asidarhan ,	nn::prpn.person mark::comma
dogo ,	nv::adj mark::comma
juwan duin de takūrsi be takūra fi unggi he .	nv::nv nv::nv cm::dat nv::nv cm::acc verb::vv e::cve verb::vv e::pst.ptcp mark::period
ninggun saca ,	nv::nv nv::nv mark::comma
bi hiyoošula ra deocile re doro i gaji fi sarila mbi seme hendu fi ,	pn::1sg verb::vv e::npst.ptcp verb::vv e::npst.ptcp nv::nv cm::gen verb::vv e::cve verb::vv e::fve.npst comp verb::vv e::cve mark::comma
juwan niyalma de emken bu he ,	nv::nv nv::nv cm::dat nv::nv verb::vv e::pst.ptcp mark::comma
manggol_efu ,	nn::prpn mark::comma
han de ba be kadala ra hafan baihanji re jaka de ,	nv::nv cm::dat nv::nv cm::acc verb::vv e::npst.ptcp nv::nv verb::vv e::npst.ptcp nv::nv cm::dat mark::comma
uju fusi fi hūdun daha cina ,	nv::nv verb::vv e::cve nv::adj verb::vv e::fve.opt mark::comma
suwan_i_efu i jui tohoi ,	nn::prpn cm::gen nv::nv nn::prpn.person mark::comma
oode sin de hergen bu ci aca rakū ,	nn::prpn.person pn::2sg cm::dat nv::nv verb::vv e::cve verb::vv e::npst.ptcp.neg mark::comma
sucungga de weile gai mbi ,	nv::nv cm::dat nv::nv verb::vv e::fve.npst mark::comma
jafuni ,	nn::prpn.person mark::comma
mohori_ho_wei i du_jy_hūi_ciyanši taburu i omolo altaisi ,	nn::prpn cm::gen nv::nv nn::prpn.person cm::gen nv::nv nn::prpn.person mark::comma
hai_si uje_wei i du_jy_hūi_ciyanši ungsi i omolo cingsahū ,	nn::prpn nn::prpn cm::gen nv::nv nn::prpn.person cm::gen nv::nv nn::prpn.person mark::comma
boo ci ji he anggala be bodo fi bu ∅ ,	nv::nv cm::abl verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::cve verb::vv e::fve.imperative mark::comma
hūlha holo akū ,	nv::nv nv::nv nv::adj mark::comma
fejergi giri re jalan i niyalma be asuru ambula giribu re ,	nv::nv verb::vv e::npst.ptcp nv::nv cm::gen nv::nv cm::acc nv::nv nv::nv verb::vv e::npst.ptcp mark::comma
tere hecen i leose i dele tafa fi te he ,	nv::nv nv::nv cm::gen nv::nv cm::gen nv::nv verb::vv e::cve verb::vv e::pst.ptcp mark::comma
pan tū me ulan ulan i šun alin ci tuci fi mukde re onggolo han i hecen de isinji ha ,	nv::nv verb::vv e::cve nv::nv nv::nv cm::gen nv::nv nv::nv cm::abl verb::vv e::cve verb::vv e::npst.ptcp nv::nv nv::nv cm::gen nv::nv cm::dat verb::vv e::pst.ptcp mark::comma
yafan i jeku aika jaka be nungne rahū ,	nv::nv cm::gen nv::nv nv::nv nv::nv cm::acc verb::vv e::fve.prv mark::comma
basabulu ,	nn::prpn.person mark::comma
kadala me fafula me mute rakū ,	verb::vv e::cve verb::vv e::cve verb::vv e::npst.ptcp.neg mark::comma
nikan cooha kuren hada fi poo miyoocan ilan jergi faida fi ili ha ,	nv::nv nv::nv nv::adj verb::vv e::cve nv::nv nv::nv nv::nv nv::nv verb::vv e::cve verb::vv e::pst.ptcp mark::comma
○ duin biya i ice ilan de ,	mark::circle nv::nv nv::nv cm::gen nv::adj nv::nv cm::dat mark::comma
fejergi buya niyalma i gisun de dosi fi ,	nv::nv nv::adj nv::nv cm::gen nv::nv cm::dat verb::vv e::cve mark::comma
ere nadan jaka de ,	nv::nv nv::nv nv::nv cm::dat mark::comma
jori ha jurgan be jurce rakū seme ,	verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::npst.ptcp.neg comp mark::comma
elu ,	nv::nv mark::comma
○ fu_jeo ,	mark::circle nn::prpn mark::comma
ninggun gūsa i cooha uksin etu fi gūsa dasa fi gala jafa fi buren burde me ,	nv::nv nv::nv cm::gen nv::nv nv::nv verb::vv e::cve nv::nv verb::vv e::cve nv::nv verb::vv e::cve nv::nv verb::vv e::cve mark::comma
tongki fuka sinda ha hergen i dangse .	nv::nv nv::nv verb::vv e::pst.ptcp nv::nv cm::gen nv::nv mark::period
min i juse omosi jalan hala me han de gosibu me wesihun banji kini .	pn::1sg cm::gen nv::nv nv::nv nv::nv verb::vv e::cve nv::nv cm::dat verb::vv e::cve nv::nv verb::vv e::fve.opt mark::period
gemu meni meni hanciki pu de dosimbu ∅ ,	nv::nv nv::nv nv::nv nv::adj nv::nv cm::dat verb::vv e::fve.imperative mark::comma
fusi hecen de bi he ,	nn::prpn.plc nv::nv cm::dat verb::vv e::pst.ptcp mark::comma
bobung ,	nn::prpn.person mark::comma
muse i gebu de sain kai seme bithe ara fi gaji me jide re de ,	nv::nv cm::gen nv::nv cm::dat nv::adj ptcl comp nv::nv verb::vv e::cve verb::vv e::cve verb::vv e::npst.ptcp cm::dat mark::comma
si min be ji he de ebu re se mbi seme hendu re jaka de ,	pn::2sg pn::1sg cm::acc verb::vv e::pst.ptcp cm::dat verb::vv e::npst.ptcp verb::vv e::fve.npst comp verb::vv e::npst.ptcp nv::nv cm::dat mark::comma
uju jergi jargūci hiya de emte gecuheri ,	nv::nv nv::nv nv::nv nv::nv cm::dat nv::nv nv::nv mark::comma
sunjata poo sinda habi ,	nv::nv nv::nv verb::vv e::fve.prs.prf mark::comma
na de sahaliyan ihan wa fi ,	nv::nv cm::dat nv::adj nv::nv verb::vv e::cve mark::comma
in i juwe jui de ,	pn::3sg cm::gen nv::nv nv::nv cm::dat mark::comma
dodo ,	nn::prpn.person mark::comma
wan_lii i orin nadaci aniya juwe biya i ice uyun de baha ha ,	nn::prpn cm::gen nv::nv nv::nv nv::nv nv::nv nv::nv cm::gen nv::adj nv::nv cm::dat verb::vv e::pst.ptcp mark::comma
ginjeo i lio_fujiyang de ,	nn::prpn.plc cm::gen nn::prpn cm::dat mark::comma
emu temen yaru me ,	nv::nv nv::nv verb::vv e::cve mark::comma
akdun akū niyalma be bargiyabu ∅ ,	nv::adj nv::adj nv::nv cm::acc verb::vv e::fve.imperative mark::comma
ai ai furdehe ,	nv::nv nv::nv nv::nv mark::comma
ujula ha niyalma de jakūta yan ,	verb::vv e::pst.ptcp nv::nv cm::dat nv::nv nv::nv mark::comma
beile se i weile be han beide kini ,	nv::nv nv::nv cm::gen nv::nv cm::acc nv::nv verb::vv e::fve.opt mark::comma
jori ha jurgan be jurce rakū seme beiguwan obu ha .	verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::npst.ptcp.neg comp nv::nv verb::vv e::pst.ptcp mark::period
waka uru be duile fi beide rakū ,	nv::adj nv::nv cm::acc verb::vv e::cve verb::vv e::npst.ptcp.neg mark::comma
waka be ali me gaija rakū kemuni akū se ci ,	nv::adj cm::acc verb::vv e::cve verb::vv e::npst.ptcp.neg nv::nv nv::adj verb::vv e::cve mark::comma
emu dere be susaita da dasa ∅ seme hendu he bi he ,	nv::nv nv::nv cm::acc nv::nv nv::nv verb::vv e::fve.imperative comp verb::vv e::pst.ptcp verb::vv e::pst.ptcp mark::comma
tuttu tondo i fafula rakū ehe miosihon jurgan i banji ci ,	nv::nv nv::adj cm::gen verb::vv e::npst.ptcp.neg nv::adj nv::adj nv::nv cm::gen verb::vv e::cve mark::comma
babai_taiji ,	nn::prpn mark::comma
○ yahican be ,	mark::circle nn::prpn.person cm::acc mark::comma
emke juwe i fakca rahū ,	nv::nv nv::nv cm::gen verb::vv e::fve.prv mark::comma
sese ara ra ,	nv::nv verb::vv e::npst.ptcp mark::comma
tondo beide mbi ,	nv::adj verb::vv e::fve.npst mark::comma
tai de wasimbu ha bithe ,	nv::nv cm::dat verb::vv e::pst.ptcp nv::nv mark::comma
lii_diyan_kui hendu me ,	nn::prpn verb::vv e::cve mark::comma
dabsun i alban be ainu hūdun bošo fi unggi rakū ,	nv::nv cm::gen nv::nv cm::acc nv::nv nv::adj verb::vv e::cve verb::vv e::npst.ptcp.neg mark::comma
○ balan be ,	mark::circle nn::prpn.person cm::acc mark::comma
hairakan suje seme hendu re jaka de ,	nv::adj nv::nv comp verb::vv e::npst.ptcp nv::nv cm::dat mark::comma
cargi niyalma i hebe i gisun i bithe kemuni dube lakca rakū ji mbi seme ,	nv::nv nv::nv cm::gen nv::nv cm::gen nv::nv cm::gen nv::nv nv::nv nv::nv verb::vv e::npst.ptcp.neg verb::vv e::fve.npst comp mark::comma
amban sa inu wesihun banji mbi kai ,	nv::nv nv::nv nv::nv nv::nv verb::vv e::fve.npst ptcl mark::comma
tere be umai yangsa ha weile hekūbi ,	nv::nv cm::acc nv::nv verb::vv e::pst.ptcp verb::vv e::fve.prs.prf.neg mark::comma
beile se fulu gosi mbi dere seme gūni mbi kai ,	nv::nv nv::nv nv::nv verb::vv e::fve.npst ptcl comp verb::vv e::fve.npst ptcl mark::comma
iogi ,	nv::nv mark::comma
gaha ,	nv::nv mark::comma
geren beile se ,	nv::adj nv::nv nv::nv mark::comma
nikan i jao_hoidzung ,	nv::nv cm::gen nn::prpn mark::comma
mafa suwen de aika ehe mujilen bi ci ,	nv::nv pn::2pl cm::dat nv::nv nv::adj nv::nv verb::vv e::cve mark::comma
g'ai_jeo ci ,	nn::prpn cm::abl mark::comma
dzung_bing_guwan ci fusihūn ,	nv::nv cm::abl nv::adj mark::comma
iogi tsanjiyang fakca hakū seme wesihun han de ala ∅ ,	nv::nv nv::nv verb::vv e::pst.ptcp.neg comp nv::nv nv::nv cm::dat verb::vv e::fve.imperative mark::comma
abka i ciha kai ,	nv::nv cm::gen nv::nv ptcl mark::comma
na de sahaliyan ihan wa fi ,	nv::nv cm::dat nv::adj nv::nv verb::vv e::cve mark::comma
si_ning_pu de te he niyalma inu ere adali saikan olho me suwele ∅ .	nn::prpn cm::dat verb::vv e::pst.ptcp nv::nv nv::nv nv::nv nv::adj nv::adj verb::vv e::cve verb::vv e::fve.imperative mark::period
manju i han de aca me ji fi ,	nv::nv cm::gen nv::nv cm::dat verb::vv e::cve verb::vv e::cve mark::comma
ula de juwe feye gidalabu ha ,	nv::nv cm::dat nv::nv nv::nv verb::vv e::pst.ptcp mark::comma
iogi hergen bu he ,	nv::nv nv::nv verb::vv e::pst.ptcp mark::comma
suwayan morin ,	nv::adj nv::nv mark::comma
○ inggūldai be ,	mark::circle nn::prpn.person cm::acc mark::comma
suwe beye jobo mbi seme ume banda ra ,	pn::2pl nv::nv verb::vv e::fve.npst comp nv::nv verb::vv e::npst.ptcp mark::comma
han i pai be gai fi ,	nv::nv cm::gen nv::nv cm::acc verb::vv e::cve mark::comma
juwe ubu be ,	nv::nv nv::nv cm::acc mark::comma
niru kadala ra beiguwan de ,	nv::nv verb::vv e::npst.ptcp nv::nv cm::dat mark::comma
joriktu_ecike de dehi bu he ,	nn::prpn cm::dat nv::nv verb::vv e::pst.ptcp mark::comma
eje he dangse faita ha ,	verb::vv e::pst.ptcp nv::nv verb::vv e::pst.ptcp mark::comma
dehi nadan morin ,	nv::nv nv::nv nv::nv mark::comma
jai emu akta ,	nv::nv nv::nv nv::adj mark::comma
han de waka sabu fi weile baha fi boo yada kini ,	nv::nv cm::dat nv::adj verb::vv e::cve nv::nv verb::vv e::cve nv::nv verb::vv e::fve.opt mark::comma
wei_ning ni ebele amba jugūn de butule me wa habi seme alanji re jaka de ,	nn::prpn.plc cm::gen nv::nv nv::adj nv::nv cm::dat verb::vv e::cve verb::vv e::fve.prs.prf comp verb::vv e::npst.ptcp nv::nv cm::dat mark::comma
morin juwanta ,	nv::nv nv::nv mark::comma
holbi ,	nn::prpn.person mark::comma
seke i jibca ,	nv::nv cm::gen nv::nv mark::comma
nadan_fere ,	nn::prpn mark::comma
hūlha fi benji he sunja ulha be ,	verb::vv e::cve verb::vv e::pst.ptcp nv::nv nv::nv cm::acc mark::comma
abka na saiša fi ,	nv::nv nv::nv verb::vv e::cve mark::comma
jai wa fi je ∅ ,	nv::nv verb::vv e::cve verb::vv e::fve.imperative mark::comma
○ han i ku de sinda ra iletu alban gaija ra jaka be ekiyembu rakū madabu rakū ,	mark::circle nv::nv cm::gen nv::nv cm::dat verb::vv e::npst.ptcp nv::adj nv::nv verb::vv e::npst.ptcp nv::nv cm::acc verb::vv e::npst.ptcp.neg verb::vv e::npst.ptcp.neg mark::comma
tere hehe uyun biya i ice ilan de ,	nv::nv nv::nv nv::nv nv::nv cm::gen nv::adj nv::nv cm::dat mark::comma
tere jakūn amban i fejile ,	nv::nv nv::nv nv::nv cm::gen nv::nv mark::comma
si baica fi jafa ha de ,	pn::2sg verb::vv e::cve verb::vv e::pst.ptcp cm::dat mark::comma
iogi sa i fejergi jung giyūn ,	nv::nv nv::nv cm::gen nv::nv nv::nv nv::nv mark::comma
hohori ,	nv::nv mark::comma
ji he monggo beile be yamun i dolo tebu fi ,	verb::vv e::pst.ptcp nv::nv nv::nv cm::acc nv::nv cm::gen nv::nv verb::vv e::cve mark::comma
tere nikan cooha jase tuci ke be ,	nv::nv nv::nv nv::nv nv::nv verb::vv e::pst.ptcp cm::acc mark::comma
suwen i gurun i niyalma ,	pn::2pl cm::gen nv::nv cm::gen nv::nv mark::comma
bak_taiji ,	nn::prpn mark::comma
juwe yarha i sukū ,	nv::nv nv::nv cm::gen nv::nv mark::comma
○ orin jakūn de ,	mark::circle nv::nv nv::nv cm::dat mark::comma
tung_jeng_guwe de menggun jakūnju yan ,	nn::prpn cm::dat nv::nv nv::nv nv::nv mark::comma
dorji ,	nn::prpn.person mark::comma
yoo_jeo ,	nn::prpn mark::comma
○ sahaliyan singgeri aniya ,	mark::circle nv::adj nv::nv nv::nv mark::comma
han nene me kiru jafabu fi ume wa ra seme takūra ha ,	nv::nv verb::vv e::cve nv::nv verb::vv e::cve nv::nv verb::vv e::npst.ptcp comp verb::vv e::pst.ptcp mark::comma
min i gaji ha jeku be ainu bu mbi seme hendu mbi dere ,	pn::1sg cm::gen verb::vv e::pst.ptcp nv::nv cm::acc nv::nv verb::vv e::fve.npst comp verb::vv e::fve.npst ptcl mark::comma
ce gemu ulin gida ha manggi ,	pn::3pl nv::nv nv::nv verb::vv e::pst.ptcp nv::nv mark::comma
tere ci in be baica fi baha fi ,	nv::nv cm::abl pn::3sg cm::acc verb::vv e::cve verb::vv e::cve mark::comma
da ci dube de isi tala ehe akū banji ci ,	nv::nv cm::abl nv::nv cm::dat verb::vv e::cve nv::adj nv::adj verb::vv e::cve mark::comma
icihiya me funce he ulgiyan ,	verb::vv e::cve verb::vv e::pst.ptcp nv::nv mark::comma
boihon sihabu hakū ,	nv::nv verb::vv e::pst.ptcp.neg mark::comma
si balai ume jabu re ,	pn::2sg nv::nv nv::nv verb::vv e::npst.ptcp mark::comma
suje i sijigiyan ,	nv::nv cm::gen nv::nv mark::comma
hing_šan ,	nn::prpn mark::comma
sin be ehe seme ara ha bithe ere inu ,	pn::2sg cm::acc nv::adj comp verb::vv e::pst.ptcp nv::nv nv::nv nv::nv mark::comma
han hendu me ,	nv::nv verb::vv e::cve mark::comma
ama eme ahūn deo de ehe o ho ,	nv::nv nv::nv nv::nv nv::nv cm::dat nv::adj verb::vv e::pst.ptcp mark::comma
jai muse i ujalu gebungge gašan be sucu ha ,	nv::nv nv::nv cm::gen nn::prpn.plc nv::adj nv::nv cm::acc verb::vv e::pst.ptcp mark::comma
ilan ciyandzung de juwanta yan i weile ara fi gung faita ha ,	nv::nv nv::nv cm::dat nv::nv nv::nv cm::gen nv::nv verb::vv e::cve nv::nv verb::vv e::pst.ptcp mark::comma
deo burhanggū_beile be uji fi in i efu amba_beile de bu he ,	nv::nv nn::prpn cm::acc verb::vv e::cve pn::3sg cm::gen nv::nv nn::prpn cm::dat verb::vv e::pst.ptcp mark::comma
wei_giya_ling ,	nn::prpn mark::comma
gemu ishun de gosi me haira me genggiyen i dasa me banji ci ,	nv::nv nv::nv cm::dat verb::vv e::cve verb::vv e::cve nv::adj cm::gen verb::vv e::cve verb::vv e::cve mark::comma
duile he weile ,	verb::vv e::pst.ptcp nv::nv mark::comma
juwan juwe de medege alanji ha .	nv::nv nv::nv cm::dat nv::nv verb::vv e::pst.ptcp mark::period
tooda me guri me gene he ba i tsang ni jeku be gai fi je kini ,	verb::vv e::cve verb::vv e::cve verb::vv e::pst.ptcp nv::nv cm::gen nv::nv cm::gen nv::nv cm::acc verb::vv e::cve verb::vv e::fve.opt mark::comma
ula ,	nv::nv mark::comma
hai_jeo de te he jarku de bithe jafabu fi unggi he ,	nn::prpn cm::dat verb::vv e::pst.ptcp nn::prpn.person cm::dat nv::nv verb::vv e::cve verb::vv e::pst.ptcp mark::comma
abka ,	nv::nv mark::comma
boso sala ha pu de emu tuwa bi ,	nv::nv verb::vv e::pst.ptcp nv::nv cm::dat nv::nv nv::nv verb::vv.npst mark::comma
bohori ,	nv::nv mark::comma
